"* Required Fields","* حقول مطلوبة"
"Comment","تعليق"
"Contact Form","نموذج الاتصال"
"Contact Information","بيانات الاتصال"
"Contact Us","اتصل بنا"
"Contacts","المتصلين"
"Contacts Section","Contacts Section"
"Email","البريد الإلكتروني"
"Email Options","خيارات البريد الإلكتروني"
"Email Sender","مرسل الرسالة"
"Email Template","قوالب الرسالة"
"Enable Contact Us","تفعيل اتصل بنا"
"Name","الإسم"
"Send Emails To","ارسل رسائل الى"
"Submit","أرسل"
"Telephone","الهاتف"
"Unable to submit your request. Please, try again later","لا يمكن تنفيذ طلبك الآن، يرجى المحاولة لاحقا"
"Your inquiry was submitted and will be responded to as soon as possible. Thank you for contacting us.","تم إرسال طلبك بنجاح، سنقوم بالرد عليه في أقرب وقت ممكن، شكراً لاتصالك بموقع خضرجي.كوم."
