"Cron (Scheduled Tasks) - all the times are in minutes","Cron (Scheduled Tasks) - all the times are in minutes"
"Daily","يوميا"
"Failure history lifetime","الفشل في تاريخ عمر"
"For correct URLs generated during cron runs please make sure that Web > Secure and Unsecure Base URLs are explicitly set.","For correct URLs generated during cron runs please make sure that Web > Secure and Unsecure Base URLs are explicitly set."
"Generate schedules every","توليد جداول كل"
"History cleanup every","حذف السجلات كل"
"Invalid callback: %s::%s does not exist","رد غير صالح  %s::%s لاويوجد"
"Invalid model/method definition, expecting ""model/class::method"".","Invalid model/method definition, expecting ""model/class::method""."
"Missed if not run within","اذا ضاعت لا يتنافى مع حدود"
"Monthly","شهريا"
"No callbacks found","لايوجد ردور"
"Schedule ahead for","الجدولة لـ"
"Success history lifetime","نجاح تاريخ العمر"
"Too late for the schedule","متأخر كثيراً عن الجدول"
"Unable to save Cron expression","خطأ فى حفظ العملية"
"Unknown error","خطأ غير معروف"
"Weekly","اسبوعيا
"
