"Action","Action"
"Add Group ItemSlider","Add Group ItemSlider"
"Are you sure?","Are you sure?"
"CSV","CSV"
"Change Enable Link","Change Enable Link"
"Change Item Type","Change Item Type"
"Change status","Change status"
"Could not find group itemslider to delete.","Could not find group itemslider to delete."
"Delete Group ItemSlider","Delete Group ItemSlider"
"Delete","Delete"
"Disabled","Disabled"
"Edit Group ItemSlider '%s'","Edit Group ItemSlider '%s'"
"Edit","Edit"
"Enable Link","Enable Link"
"Enabled","Enabled"
"Excel","Excel"
"Group ItemSlider was successfully deleted.","Group ItemSlider was successfully deleted."
"Group ItemSlider was successfully saved","Group ItemSlider was successfully saved"
"Group ItemSlider","Group ItemSlider"
"Group Name","Group Name"
"Home","Home"
"Id","Id"
"Item Ids","Item Ids"
"Item Type","Item Type"
"Manager Item Group","Manager Item Group"
"No","No"
"None","None"
"Please select manager item group to delete.","Please select manager item group to delete."
"Please select manager item group.","Please select manager item group."
"Relative to Website Base URL","Relative to Website Base URL"
"Save And Continue Edit","Save And Continue Edit"
"Save Group ItemSlider","Save Group ItemSlider"
"Status","Status"
"Store views","Store views"
"The URL key cannot consist only of numbers.","The URL key cannot consist only of numbers."
"The URL key contains capital letters or disallowed symbols.","The URL key contains capital letters or disallowed symbols."
"There was a problem saving the group itemslider.","There was a problem saving the group itemslider."
"There was an error deleteing group itemslider.","There was an error deleteing group itemslider."
"There was an error deleteing manager item group.","There was an error deleteing manager item group."
"There was an error updating manager item group.","There was an error updating manager item group."
"This group itemslider no longer exists.","This group itemslider no longer exists."
"Total of %d manager item group were successfully deleted.","Total of %d manager item group were successfully deleted."
"Total of %d manager item group were successfully updated.","Total of %d manager item group were successfully updated."
"URL key already exists.","URL key already exists."
"URL key","URL key"
"Unable to find group itemslider to save.","Unable to find group itemslider to save."
"XML","XML"
"Yes","Yes"
